指数名称,指数简称,指数代码,覆盖行业代码
AMAC农林牧渔指数,AMAC农林,H11030,"01,02,03,04,05"
AMAC采矿指数,AMAC采矿,H11031,"06,07,08,09,10,11,12"
AMAC水电煤气指数,AMAC公用,H11041,"44,45,46"
AMAC建筑指数,AMAC建筑,H11042,"47,48,49,50"
AMAC交运仓储指数,AMAC交运,H11043,"53,54,55,56,57,58,59,60"
AMAC信息技术指数,AMAC信息,H11044,"63,64,65"
AMAC批发零售贸易指数,AMAC批零,H11045,"51,52"
AMAC金融保险指数,AMAC金融,H11046,"66,67,68,69"
AMAC房地产指数,AMAC地产,H11047,70
AMAC文化体育指数,AMAC文体,H11049,"83,86,87,88,89,90"
AMAC综合企业指数,AMAC综企,H11050,"91,41,42,43"
AMAC餐饮住宿指数,AMAC餐饮,H30036,"61,62"
AMAC租赁商务指数,AMAC商务,H30037,"71,72"
AMAC科研技术指数,AMAC科技,H30038,"73,74,75"
AMAC水利环境指数,AMAC公共,H30039,"76,77,78,79"
AMAC居民服务指数,AMAC社会,H30040,"80,81,82,84,85"
AMAC食品加工指数,AMAC农副,H30041,13
AMAC食品制造指数,AMAC食品,H30042,14
AMAC饮料制造指数,AMAC饮料,H30043,15
AMAC纺织指数,AMAC纺织,H30044,17
AMAC纺织服装指数,AMAC服装,H30045,18
AMAC皮革指数,AMAC皮革,H30046,19
AMAC木材指数,AMAC木材,H30047,20
AMAC家具指数,AMAC家具,H30048,21
AMAC造纸指数,AMAC造纸,H30049,22
AMAC印刷指数,AMAC印刷,H30050,23
AMAC文教用品指数,AMAC文教,H30051,24
AMAC石化指数,AMAC石化,H30052,25
AMAC化学制品指数,AMAC化学,H30053,26
AMAC医药制造指数,AMAC医药,H30054,27
AMAC化纤指数,AMAC化纤,H30055,28
AMAC橡胶塑料指数,AMAC橡胶,H30056,29
AMAC非金属指数,AMAC矿物,H30057,30
AMAC黑色金属指数,AMAC钢铁,H30058,31
AMAC有色金属指数,AMAC有色,H30059,32
AMAC金属制品指数,AMAC金属,H30060,33
AMAC通用设备指数,AMAC通用,H30061,34
AMAC专用设备指数,AMAC专用,H30062,35
AMAC汽车制造指数,AMAC汽车,H30063,36
AMAC运输设备指数,AMAC运输,H30064,37
AMAC电气机械指数,AMAC电气,H30065,38
AMAC电子设备指数,AMAC电子,H30066,39
AMAC仪器仪表指数,AMAC仪表,H30067,40